Compound,Negative,Neutral,News Organization,Positive,Tweet Ago
0.1867,0.0,0.902,@BBC,0.098,1
0.0,0.0,1.0,@BBC,0.0,2
0.4215,0.0,0.833,@BBC,0.167,3
0.5411,0.0,0.857,@BBC,0.143,4
0.0,0.0,1.0,@BBC,0.0,5
0.0,0.0,1.0,@BBC,0.0,6
0.4995,0.0,0.867,@BBC,0.133,7
0.128,0.065,0.85,@BBC,0.085,8
0.0,0.0,1.0,@BBC,0.0,9
0.0,0.0,1.0,@BBC,0.0,10
0.0,0.0,1.0,@BBC,0.0,11
-0.296,0.136,0.864,@BBC,0.0,12
0.0,0.0,1.0,@BBC,0.0,13
0.0,0.0,1.0,@BBC,0.0,14
0.0,0.0,1.0,@BBC,0.0,15
0.7783,0.0,0.714,@BBC,0.286,16
-0.4479,0.172,0.828,@BBC,0.0,17
0.5994,0.0,0.813,@BBC,0.187,18
-0.4767,0.129,0.871,@BBC,0.0,19
0.6114,0.0,0.8,@BBC,0.2,20
0.1867,0.0,0.902,@BBC,0.098,21
0.0,0.0,1.0,@BBC,0.0,22
0.4215,0.0,0.833,@BBC,0.167,23
0.5411,0.0,0.857,@BBC,0.143,24
0.0,0.0,1.0,@BBC,0.0,25
0.0,0.0,1.0,@BBC,0.0,26
0.4995,0.0,0.867,@BBC,0.133,27
0.128,0.065,0.85,@BBC,0.085,28
0.0,0.0,1.0,@BBC,0.0,29
0.0,0.0,1.0,@BBC,0.0,30
0.0,0.0,1.0,@BBC,0.0,31
-0.296,0.136,0.864,@BBC,0.0,32
0.0,0.0,1.0,@BBC,0.0,33
0.0,0.0,1.0,@BBC,0.0,34
0.0,0.0,1.0,@BBC,0.0,35
0.7783,0.0,0.714,@BBC,0.286,36
-0.4479,0.172,0.828,@BBC,0.0,37
0.5994,0.0,0.813,@BBC,0.187,38
-0.4767,0.129,0.871,@BBC,0.0,39
0.6114,0.0,0.8,@BBC,0.2,40
0.1867,0.0,0.902,@BBC,0.098,41
0.0,0.0,1.0,@BBC,0.0,42
0.4215,0.0,0.833,@BBC,0.167,43
0.5411,0.0,0.857,@BBC,0.143,44
0.0,0.0,1.0,@BBC,0.0,45
0.0,0.0,1.0,@BBC,0.0,46
0.4995,0.0,0.867,@BBC,0.133,47
0.128,0.065,0.85,@BBC,0.085,48
0.0,0.0,1.0,@BBC,0.0,49
0.0,0.0,1.0,@BBC,0.0,50
0.0,0.0,1.0,@BBC,0.0,51
-0.296,0.136,0.864,@BBC,0.0,52
0.0,0.0,1.0,@BBC,0.0,53
0.0,0.0,1.0,@BBC,0.0,54
0.0,0.0,1.0,@BBC,0.0,55
0.7783,0.0,0.714,@BBC,0.286,56
-0.4479,0.172,0.828,@BBC,0.0,57
0.5994,0.0,0.813,@BBC,0.187,58
-0.4767,0.129,0.871,@BBC,0.0,59
0.6114,0.0,0.8,@BBC,0.2,60
0.1867,0.0,0.902,@BBC,0.098,61
0.0,0.0,1.0,@BBC,0.0,62
0.4215,0.0,0.833,@BBC,0.167,63
0.5411,0.0,0.857,@BBC,0.143,64
0.0,0.0,1.0,@BBC,0.0,65
0.0,0.0,1.0,@BBC,0.0,66
0.4995,0.0,0.867,@BBC,0.133,67
0.128,0.065,0.85,@BBC,0.085,68
0.0,0.0,1.0,@BBC,0.0,69
0.0,0.0,1.0,@BBC,0.0,70
0.0,0.0,1.0,@BBC,0.0,71
-0.296,0.136,0.864,@BBC,0.0,72
0.0,0.0,1.0,@BBC,0.0,73
0.0,0.0,1.0,@BBC,0.0,74
0.0,0.0,1.0,@BBC,0.0,75
0.7783,0.0,0.714,@BBC,0.286,76
-0.4479,0.172,0.828,@BBC,0.0,77
0.5994,0.0,0.813,@BBC,0.187,78
-0.4767,0.129,0.871,@BBC,0.0,79
0.6114,0.0,0.8,@BBC,0.2,80
0.1867,0.0,0.902,@BBC,0.098,81
0.0,0.0,1.0,@BBC,0.0,82
0.4215,0.0,0.833,@BBC,0.167,83
0.5411,0.0,0.857,@BBC,0.143,84
0.0,0.0,1.0,@BBC,0.0,85
0.0,0.0,1.0,@BBC,0.0,86
0.4995,0.0,0.867,@BBC,0.133,87
0.128,0.065,0.85,@BBC,0.085,88
0.0,0.0,1.0,@BBC,0.0,89
0.0,0.0,1.0,@BBC,0.0,90
0.0,0.0,1.0,@BBC,0.0,91
-0.296,0.136,0.864,@BBC,0.0,92
0.0,0.0,1.0,@BBC,0.0,93
0.0,0.0,1.0,@BBC,0.0,94
0.0,0.0,1.0,@BBC,0.0,95
0.7783,0.0,0.714,@BBC,0.286,96
-0.4479,0.172,0.828,@BBC,0.0,97
0.5994,0.0,0.813,@BBC,0.187,98
-0.4767,0.129,0.871,@BBC,0.0,99
0.6114,0.0,0.8,@BBC,0.2,100
0.6996,0.0,0.806,@CBS,0.194,1
0.4939,0.0,0.686,@CBS,0.314,2
0.8997,0.0,0.645,@CBS,0.355,3
0.0,0.0,1.0,@CBS,0.0,4
0.7081,0.066,0.623,@CBS,0.311,5
0.636,0.0,0.802,@CBS,0.198,6
0.0,0.0,1.0,@CBS,0.0,7
0.5106,0.0,0.858,@CBS,0.142,8
0.0,0.0,1.0,@CBS,0.0,9
0.5562,0.0,0.826,@CBS,0.174,10
0.0,0.0,1.0,@CBS,0.0,11
0.7845,0.072,0.619,@CBS,0.309,12
0.0,0.0,1.0,@CBS,0.0,13
0.6514,0.0,0.787,@CBS,0.213,14
0.1867,0.0,0.92,@CBS,0.08,15
0.0,0.0,1.0,@CBS,0.0,16
0.6166,0.0,0.839,@CBS,0.161,17
0.7096,0.0,0.753,@CBS,0.247,18
0.296,0.0,0.896,@CBS,0.104,19
0.0,0.0,1.0,@CBS,0.0,20
0.6996,0.0,0.806,@CBS,0.194,21
0.4939,0.0,0.686,@CBS,0.314,22
0.8997,0.0,0.645,@CBS,0.355,23
0.0,0.0,1.0,@CBS,0.0,24
0.7081,0.066,0.623,@CBS,0.311,25
0.636,0.0,0.802,@CBS,0.198,26
0.0,0.0,1.0,@CBS,0.0,27
0.5106,0.0,0.858,@CBS,0.142,28
0.0,0.0,1.0,@CBS,0.0,29
0.5562,0.0,0.826,@CBS,0.174,30
0.0,0.0,1.0,@CBS,0.0,31
0.7845,0.072,0.619,@CBS,0.309,32
0.0,0.0,1.0,@CBS,0.0,33
0.6514,0.0,0.787,@CBS,0.213,34
0.1867,0.0,0.92,@CBS,0.08,35
0.0,0.0,1.0,@CBS,0.0,36
0.6166,0.0,0.839,@CBS,0.161,37
0.7096,0.0,0.753,@CBS,0.247,38
0.296,0.0,0.896,@CBS,0.104,39
0.0,0.0,1.0,@CBS,0.0,40
0.6996,0.0,0.806,@CBS,0.194,41
0.4939,0.0,0.686,@CBS,0.314,42
0.8997,0.0,0.645,@CBS,0.355,43
0.0,0.0,1.0,@CBS,0.0,44
0.7081,0.066,0.623,@CBS,0.311,45
0.636,0.0,0.802,@CBS,0.198,46
0.0,0.0,1.0,@CBS,0.0,47
0.5106,0.0,0.858,@CBS,0.142,48
0.0,0.0,1.0,@CBS,0.0,49
0.5562,0.0,0.826,@CBS,0.174,50
0.0,0.0,1.0,@CBS,0.0,51
0.7845,0.072,0.619,@CBS,0.309,52
0.0,0.0,1.0,@CBS,0.0,53
0.6514,0.0,0.787,@CBS,0.213,54
0.1867,0.0,0.92,@CBS,0.08,55
0.0,0.0,1.0,@CBS,0.0,56
0.6166,0.0,0.839,@CBS,0.161,57
0.7096,0.0,0.753,@CBS,0.247,58
0.296,0.0,0.896,@CBS,0.104,59
0.0,0.0,1.0,@CBS,0.0,60
0.6996,0.0,0.806,@CBS,0.194,61
0.4939,0.0,0.686,@CBS,0.314,62
0.8997,0.0,0.645,@CBS,0.355,63
0.0,0.0,1.0,@CBS,0.0,64
0.7081,0.066,0.623,@CBS,0.311,65
0.636,0.0,0.802,@CBS,0.198,66
0.0,0.0,1.0,@CBS,0.0,67
0.5106,0.0,0.858,@CBS,0.142,68
0.0,0.0,1.0,@CBS,0.0,69
0.5562,0.0,0.826,@CBS,0.174,70
0.0,0.0,1.0,@CBS,0.0,71
0.7845,0.072,0.619,@CBS,0.309,72
0.0,0.0,1.0,@CBS,0.0,73
0.6514,0.0,0.787,@CBS,0.213,74
0.1867,0.0,0.92,@CBS,0.08,75
0.0,0.0,1.0,@CBS,0.0,76
0.6166,0.0,0.839,@CBS,0.161,77
0.7096,0.0,0.753,@CBS,0.247,78
0.296,0.0,0.896,@CBS,0.104,79
0.0,0.0,1.0,@CBS,0.0,80
0.6996,0.0,0.806,@CBS,0.194,81
0.4939,0.0,0.686,@CBS,0.314,82
0.8997,0.0,0.645,@CBS,0.355,83
0.0,0.0,1.0,@CBS,0.0,84
0.7081,0.066,0.623,@CBS,0.311,85
0.636,0.0,0.802,@CBS,0.198,86
0.0,0.0,1.0,@CBS,0.0,87
0.5106,0.0,0.858,@CBS,0.142,88
0.0,0.0,1.0,@CBS,0.0,89
0.5562,0.0,0.826,@CBS,0.174,90
0.0,0.0,1.0,@CBS,0.0,91
0.7845,0.072,0.619,@CBS,0.309,92
0.0,0.0,1.0,@CBS,0.0,93
0.6514,0.0,0.787,@CBS,0.213,94
0.1867,0.0,0.92,@CBS,0.08,95
0.0,0.0,1.0,@CBS,0.0,96
0.6166,0.0,0.839,@CBS,0.161,97
0.7096,0.0,0.753,@CBS,0.247,98
0.296,0.0,0.896,@CBS,0.104,99
0.0,0.0,1.0,@CBS,0.0,100
-0.4404,0.139,0.861,@CNN,0.0,1
0.4404,0.0,0.847,@CNN,0.153,2
0.5423,0.0,0.816,@CNN,0.184,3
0.0516,0.111,0.769,@CNN,0.12,4
0.0,0.0,1.0,@CNN,0.0,5
0.0,0.0,1.0,@CNN,0.0,6
0.5574,0.0,0.805,@CNN,0.195,7
0.0,0.0,1.0,@CNN,0.0,8
0.2263,0.113,0.739,@CNN,0.148,9
-0.6597,0.239,0.761,@CNN,0.0,10
0.5719,0.0,0.821,@CNN,0.179,11
0.3818,0.0,0.874,@CNN,0.126,12
0.5106,0.0,0.82,@CNN,0.18,13
-0.0772,0.121,0.769,@CNN,0.109,14
-0.4767,0.14,0.86,@CNN,0.0,15
0.0,0.0,1.0,@CNN,0.0,16
-0.6597,0.227,0.773,@CNN,0.0,17
0.0,0.0,1.0,@CNN,0.0,18
0.0,0.0,1.0,@CNN,0.0,19
-0.2732,0.084,0.916,@CNN,0.0,20
-0.4404,0.139,0.861,@CNN,0.0,21
0.4404,0.0,0.847,@CNN,0.153,22
0.5423,0.0,0.816,@CNN,0.184,23
0.0516,0.111,0.769,@CNN,0.12,24
0.0,0.0,1.0,@CNN,0.0,25
0.0,0.0,1.0,@CNN,0.0,26
0.5574,0.0,0.805,@CNN,0.195,27
0.0,0.0,1.0,@CNN,0.0,28
0.2263,0.113,0.739,@CNN,0.148,29
-0.6597,0.239,0.761,@CNN,0.0,30
0.5719,0.0,0.821,@CNN,0.179,31
0.3818,0.0,0.874,@CNN,0.126,32
0.5106,0.0,0.82,@CNN,0.18,33
-0.0772,0.121,0.769,@CNN,0.109,34
-0.4767,0.14,0.86,@CNN,0.0,35
0.0,0.0,1.0,@CNN,0.0,36
-0.6597,0.227,0.773,@CNN,0.0,37
0.0,0.0,1.0,@CNN,0.0,38
0.0,0.0,1.0,@CNN,0.0,39
-0.2732,0.084,0.916,@CNN,0.0,40
-0.4404,0.139,0.861,@CNN,0.0,41
0.4404,0.0,0.847,@CNN,0.153,42
0.5423,0.0,0.816,@CNN,0.184,43
0.0516,0.111,0.769,@CNN,0.12,44
0.0,0.0,1.0,@CNN,0.0,45
0.0,0.0,1.0,@CNN,0.0,46
0.5574,0.0,0.805,@CNN,0.195,47
0.0,0.0,1.0,@CNN,0.0,48
0.2263,0.113,0.739,@CNN,0.148,49
-0.6597,0.239,0.761,@CNN,0.0,50
0.5719,0.0,0.821,@CNN,0.179,51
0.3818,0.0,0.874,@CNN,0.126,52
0.5106,0.0,0.82,@CNN,0.18,53
-0.0772,0.121,0.769,@CNN,0.109,54
-0.4767,0.14,0.86,@CNN,0.0,55
0.0,0.0,1.0,@CNN,0.0,56
-0.6597,0.227,0.773,@CNN,0.0,57
0.0,0.0,1.0,@CNN,0.0,58
0.0,0.0,1.0,@CNN,0.0,59
-0.2732,0.084,0.916,@CNN,0.0,60
-0.4404,0.139,0.861,@CNN,0.0,61
0.4404,0.0,0.847,@CNN,0.153,62
0.5423,0.0,0.816,@CNN,0.184,63
0.0516,0.111,0.769,@CNN,0.12,64
0.0,0.0,1.0,@CNN,0.0,65
0.0,0.0,1.0,@CNN,0.0,66
0.5574,0.0,0.805,@CNN,0.195,67
0.0,0.0,1.0,@CNN,0.0,68
0.2263,0.113,0.739,@CNN,0.148,69
-0.6597,0.239,0.761,@CNN,0.0,70
0.5719,0.0,0.821,@CNN,0.179,71
0.3818,0.0,0.874,@CNN,0.126,72
0.5106,0.0,0.82,@CNN,0.18,73
-0.0772,0.121,0.769,@CNN,0.109,74
-0.4767,0.14,0.86,@CNN,0.0,75
0.0,0.0,1.0,@CNN,0.0,76
-0.6597,0.227,0.773,@CNN,0.0,77
0.0,0.0,1.0,@CNN,0.0,78
0.0,0.0,1.0,@CNN,0.0,79
-0.2732,0.084,0.916,@CNN,0.0,80
-0.4404,0.139,0.861,@CNN,0.0,81
0.4404,0.0,0.847,@CNN,0.153,82
0.5423,0.0,0.816,@CNN,0.184,83
0.0516,0.111,0.769,@CNN,0.12,84
0.0,0.0,1.0,@CNN,0.0,85
0.0,0.0,1.0,@CNN,0.0,86
0.5574,0.0,0.805,@CNN,0.195,87
0.0,0.0,1.0,@CNN,0.0,88
0.2263,0.113,0.739,@CNN,0.148,89
-0.6597,0.239,0.761,@CNN,0.0,90
0.5719,0.0,0.821,@CNN,0.179,91
0.3818,0.0,0.874,@CNN,0.126,92
0.5106,0.0,0.82,@CNN,0.18,93
-0.0772,0.121,0.769,@CNN,0.109,94
-0.4767,0.14,0.86,@CNN,0.0,95
0.0,0.0,1.0,@CNN,0.0,96
-0.6597,0.227,0.773,@CNN,0.0,97
0.0,0.0,1.0,@CNN,0.0,98
0.0,0.0,1.0,@CNN,0.0,99
-0.2732,0.084,0.916,@CNN,0.0,100
-0.7579,0.394,0.606,@FoxNews,0.0,1
-0.4588,0.333,0.667,@FoxNews,0.0,2
-0.34,0.124,0.876,@FoxNews,0.0,3
0.0,0.0,1.0,@FoxNews,0.0,4
0.4019,0.0,0.838,@FoxNews,0.162,5
0.0,0.0,1.0,@FoxNews,0.0,6
0.0,0.0,1.0,@FoxNews,0.0,7
0.5106,0.086,0.724,@FoxNews,0.19,8
-0.6705,0.297,0.703,@FoxNews,0.0,9
0.1531,0.105,0.762,@FoxNews,0.133,10
0.0,0.0,1.0,@FoxNews,0.0,11
0.0,0.0,1.0,@FoxNews,0.0,12
-0.7072,0.288,0.712,@FoxNews,0.0,13
0.2144,0.0,0.907,@FoxNews,0.093,14
-0.5574,0.231,0.769,@FoxNews,0.0,15
0.0,0.0,1.0,@FoxNews,0.0,16
-0.5106,0.148,0.852,@FoxNews,0.0,17
0.0,0.0,1.0,@FoxNews,0.0,18
0.0,0.0,1.0,@FoxNews,0.0,19
0.4019,0.0,0.856,@FoxNews,0.144,20
-0.7579,0.394,0.606,@FoxNews,0.0,21
-0.4588,0.333,0.667,@FoxNews,0.0,22
-0.34,0.124,0.876,@FoxNews,0.0,23
0.0,0.0,1.0,@FoxNews,0.0,24
0.4019,0.0,0.838,@FoxNews,0.162,25
0.0,0.0,1.0,@FoxNews,0.0,26
0.0,0.0,1.0,@FoxNews,0.0,27
0.5106,0.086,0.724,@FoxNews,0.19,28
-0.6705,0.297,0.703,@FoxNews,0.0,29
0.1531,0.105,0.762,@FoxNews,0.133,30
0.0,0.0,1.0,@FoxNews,0.0,31
0.0,0.0,1.0,@FoxNews,0.0,32
-0.7072,0.288,0.712,@FoxNews,0.0,33
0.2144,0.0,0.907,@FoxNews,0.093,34
-0.5574,0.231,0.769,@FoxNews,0.0,35
0.0,0.0,1.0,@FoxNews,0.0,36
-0.5106,0.148,0.852,@FoxNews,0.0,37
0.0,0.0,1.0,@FoxNews,0.0,38
0.0,0.0,1.0,@FoxNews,0.0,39
0.4019,0.0,0.856,@FoxNews,0.144,40
-0.7579,0.394,0.606,@FoxNews,0.0,41
-0.4588,0.333,0.667,@FoxNews,0.0,42
-0.34,0.124,0.876,@FoxNews,0.0,43
0.0,0.0,1.0,@FoxNews,0.0,44
0.4019,0.0,0.838,@FoxNews,0.162,45
0.0,0.0,1.0,@FoxNews,0.0,46
0.0,0.0,1.0,@FoxNews,0.0,47
0.5106,0.086,0.724,@FoxNews,0.19,48
-0.6705,0.297,0.703,@FoxNews,0.0,49
0.1531,0.105,0.762,@FoxNews,0.133,50
0.0,0.0,1.0,@FoxNews,0.0,51
0.0,0.0,1.0,@FoxNews,0.0,52
-0.7072,0.288,0.712,@FoxNews,0.0,53
0.2144,0.0,0.907,@FoxNews,0.093,54
-0.5574,0.231,0.769,@FoxNews,0.0,55
0.0,0.0,1.0,@FoxNews,0.0,56
-0.5106,0.148,0.852,@FoxNews,0.0,57
0.0,0.0,1.0,@FoxNews,0.0,58
0.0,0.0,1.0,@FoxNews,0.0,59
0.4019,0.0,0.856,@FoxNews,0.144,60
-0.7579,0.394,0.606,@FoxNews,0.0,61
-0.4588,0.333,0.667,@FoxNews,0.0,62
-0.34,0.124,0.876,@FoxNews,0.0,63
0.0,0.0,1.0,@FoxNews,0.0,64
0.4019,0.0,0.838,@FoxNews,0.162,65
0.0,0.0,1.0,@FoxNews,0.0,66
0.0,0.0,1.0,@FoxNews,0.0,67
0.5106,0.086,0.724,@FoxNews,0.19,68
-0.6705,0.297,0.703,@FoxNews,0.0,69
0.1531,0.105,0.762,@FoxNews,0.133,70
0.0,0.0,1.0,@FoxNews,0.0,71
0.0,0.0,1.0,@FoxNews,0.0,72
-0.7072,0.288,0.712,@FoxNews,0.0,73
0.2144,0.0,0.907,@FoxNews,0.093,74
-0.5574,0.231,0.769,@FoxNews,0.0,75
0.0,0.0,1.0,@FoxNews,0.0,76
-0.5106,0.148,0.852,@FoxNews,0.0,77
0.0,0.0,1.0,@FoxNews,0.0,78
0.0,0.0,1.0,@FoxNews,0.0,79
0.4019,0.0,0.856,@FoxNews,0.144,80
-0.7579,0.394,0.606,@FoxNews,0.0,81
-0.4588,0.333,0.667,@FoxNews,0.0,82
-0.34,0.124,0.876,@FoxNews,0.0,83
0.0,0.0,1.0,@FoxNews,0.0,84
0.4019,0.0,0.838,@FoxNews,0.162,85
0.0,0.0,1.0,@FoxNews,0.0,86
0.0,0.0,1.0,@FoxNews,0.0,87
0.5106,0.086,0.724,@FoxNews,0.19,88
-0.6705,0.297,0.703,@FoxNews,0.0,89
0.1531,0.105,0.762,@FoxNews,0.133,90
0.0,0.0,1.0,@FoxNews,0.0,91
0.0,0.0,1.0,@FoxNews,0.0,92
-0.7072,0.288,0.712,@FoxNews,0.0,93
0.2144,0.0,0.907,@FoxNews,0.093,94
-0.5574,0.231,0.769,@FoxNews,0.0,95
0.0,0.0,1.0,@FoxNews,0.0,96
-0.5106,0.148,0.852,@FoxNews,0.0,97
0.0,0.0,1.0,@FoxNews,0.0,98
0.0,0.0,1.0,@FoxNews,0.0,99
0.4019,0.0,0.856,@FoxNews,0.144,100
0.3182,0.0,0.859,@nytimes,0.141,1
0.2023,0.0,0.859,@nytimes,0.141,2
-0.34,0.211,0.789,@nytimes,0.0,3
-0.34,0.17,0.728,@nytimes,0.102,4
-0.1531,0.071,0.929,@nytimes,0.0,5
0.4588,0.0,0.85,@nytimes,0.15,6
0.0,0.0,1.0,@nytimes,0.0,7
-0.8481,0.448,0.444,@nytimes,0.107,8
0.0,0.0,1.0,@nytimes,0.0,9
0.0,0.0,1.0,@nytimes,0.0,10
0.0,0.0,1.0,@nytimes,0.0,11
0.25,0.0,0.857,@nytimes,0.143,12
-0.5106,0.185,0.815,@nytimes,0.0,13
0.6705,0.06,0.687,@nytimes,0.253,14
0.0,0.0,1.0,@nytimes,0.0,15
0.0,0.0,1.0,@nytimes,0.0,16
0.0,0.0,1.0,@nytimes,0.0,17
0.8555,0.0,0.704,@nytimes,0.296,18
-0.296,0.109,0.891,@nytimes,0.0,19
0.0,0.0,1.0,@nytimes,0.0,20
0.3182,0.0,0.859,@nytimes,0.141,21
0.2023,0.0,0.859,@nytimes,0.141,22
-0.34,0.211,0.789,@nytimes,0.0,23
-0.34,0.17,0.728,@nytimes,0.102,24
-0.1531,0.071,0.929,@nytimes,0.0,25
0.4588,0.0,0.85,@nytimes,0.15,26
0.0,0.0,1.0,@nytimes,0.0,27
-0.8481,0.448,0.444,@nytimes,0.107,28
0.0,0.0,1.0,@nytimes,0.0,29
0.0,0.0,1.0,@nytimes,0.0,30
0.0,0.0,1.0,@nytimes,0.0,31
0.25,0.0,0.857,@nytimes,0.143,32
-0.5106,0.185,0.815,@nytimes,0.0,33
0.6705,0.06,0.687,@nytimes,0.253,34
0.0,0.0,1.0,@nytimes,0.0,35
0.0,0.0,1.0,@nytimes,0.0,36
0.0,0.0,1.0,@nytimes,0.0,37
0.8555,0.0,0.704,@nytimes,0.296,38
-0.296,0.109,0.891,@nytimes,0.0,39
0.0,0.0,1.0,@nytimes,0.0,40
0.3182,0.0,0.859,@nytimes,0.141,41
0.2023,0.0,0.859,@nytimes,0.141,42
-0.34,0.211,0.789,@nytimes,0.0,43
-0.34,0.17,0.728,@nytimes,0.102,44
-0.1531,0.071,0.929,@nytimes,0.0,45
0.4588,0.0,0.85,@nytimes,0.15,46
0.0,0.0,1.0,@nytimes,0.0,47
-0.8481,0.448,0.444,@nytimes,0.107,48
0.0,0.0,1.0,@nytimes,0.0,49
0.0,0.0,1.0,@nytimes,0.0,50
0.0,0.0,1.0,@nytimes,0.0,51
0.25,0.0,0.857,@nytimes,0.143,52
-0.5106,0.185,0.815,@nytimes,0.0,53
0.6705,0.06,0.687,@nytimes,0.253,54
0.0,0.0,1.0,@nytimes,0.0,55
0.0,0.0,1.0,@nytimes,0.0,56
0.0,0.0,1.0,@nytimes,0.0,57
0.8555,0.0,0.704,@nytimes,0.296,58
-0.296,0.109,0.891,@nytimes,0.0,59
0.0,0.0,1.0,@nytimes,0.0,60
0.3182,0.0,0.859,@nytimes,0.141,61
0.2023,0.0,0.859,@nytimes,0.141,62
-0.34,0.211,0.789,@nytimes,0.0,63
-0.34,0.17,0.728,@nytimes,0.102,64
-0.1531,0.071,0.929,@nytimes,0.0,65
0.4588,0.0,0.85,@nytimes,0.15,66
0.0,0.0,1.0,@nytimes,0.0,67
-0.8481,0.448,0.444,@nytimes,0.107,68
0.0,0.0,1.0,@nytimes,0.0,69
0.0,0.0,1.0,@nytimes,0.0,70
0.0,0.0,1.0,@nytimes,0.0,71
0.25,0.0,0.857,@nytimes,0.143,72
-0.5106,0.185,0.815,@nytimes,0.0,73
0.6705,0.06,0.687,@nytimes,0.253,74
0.0,0.0,1.0,@nytimes,0.0,75
0.0,0.0,1.0,@nytimes,0.0,76
0.0,0.0,1.0,@nytimes,0.0,77
0.8555,0.0,0.704,@nytimes,0.296,78
-0.296,0.109,0.891,@nytimes,0.0,79
0.0,0.0,1.0,@nytimes,0.0,80
0.3182,0.0,0.859,@nytimes,0.141,81
0.2023,0.0,0.859,@nytimes,0.141,82
-0.34,0.211,0.789,@nytimes,0.0,83
-0.34,0.17,0.728,@nytimes,0.102,84
-0.1531,0.071,0.929,@nytimes,0.0,85
0.4588,0.0,0.85,@nytimes,0.15,86
0.0,0.0,1.0,@nytimes,0.0,87
-0.8481,0.448,0.444,@nytimes,0.107,88
0.0,0.0,1.0,@nytimes,0.0,89
0.0,0.0,1.0,@nytimes,0.0,90
0.0,0.0,1.0,@nytimes,0.0,91
0.25,0.0,0.857,@nytimes,0.143,92
-0.5106,0.185,0.815,@nytimes,0.0,93
0.6705,0.06,0.687,@nytimes,0.253,94
0.0,0.0,1.0,@nytimes,0.0,95
0.0,0.0,1.0,@nytimes,0.0,96
0.0,0.0,1.0,@nytimes,0.0,97
0.8555,0.0,0.704,@nytimes,0.296,98
-0.296,0.109,0.891,@nytimes,0.0,99
0.0,0.0,1.0,@nytimes,0.0,100
